,,S1,F1,S2,F2,S3,F3,S4,F4
Glacier 4,$z$,0.007,0.010,0.004,0.003,0.014,-0.001,0.005,0.004
,$d_C$,$<$0.001,$<$0.001,-0.001,-0.002,-0.001,-0.002,$<$0.001,-0.001
,$\alpha$,-0.022,-0.004,-0.008,-0.012,-0.015,-0.006,-0.007,-0.008
,$m$,-0.004,-0.003,-0.005,-0.004,-0.017,-0.007,-0.001,-0.013
,$N$,-0.006,-0.003,$<$0.001,-0.001,-0.005,-0.002,-0.003,$<$0.001
,$\kappa$,0.008,0.026,0.026,0.012,0.008,0.014,0.029,0.005
,Sx,-0.061,-0.044,-0.047,-0.047,-0.056,-0.051,-0.046,-0.052
,Intercept,0.618,0.578,0.623,0.631,0.618,0.635,0.614,0.637
,RMSE,0.104,0.099,0.104,0.098,0.110,0.110,0.108,0.112
Glacier 2,$z$,0.123,0.105,0.118,0.102,0.103,0.117,0.107,0.113
,$d_C$,0.005,0.015,0.010,0.006,0.011,0.003,0.009,0.004
,$\alpha$,-0.010,-0.022,-0.014,-0.006,-0.018,-0.004,-0.006,-0.007
,$m$,0.035,0.018,0.024,0.033,0.033,0.030,0.031,0.028
,$N$,0.013,0.025,0.016,0.005,0.018,0.006,0.003,0.011
,$\kappa$,0.001,$<$0.001,0.002,0.002,0.006,0.004,0.001,0.002
,Sx,0.037,0.034,0.032,0.033,0.039,0.037,0.042,0.036
,Intercept,0.280,0.263,0.273,0.235,0.275,0.241,0.276,0.243
,RMSE,0.082,0.075,0.078,0.068,0.077,0.070,0.081,0.070
Glacier 13,$z$,0.061,0.054,0.056,0.057,0.044,0.056,0.054,0.054
,$d_C$,$<$0.001,$<$0.001,0.001,$<$0.001,$<$0.001,$<$0.001,$<$0.001,0.001
,$\alpha$,-0.001,$<$0.001,-0.002,-0.002,$<$0.001,-0.002,$<$0.001,$<$0.001
,$m$,0.001,$<$0.001,0.002,-0.001,$<$0.001,$<$0.001,$<$0.001,0.001
,$N$,0.001,0.001,0.002,0.001,0.001,$<$0.001,0.001,$<$0.001
,$\kappa$,-0.021,-0.018,-0.016,-0.019,-0.021,-0.019,-0.023,-0.016
,Sx,0.003,0.003,0.007,0.001,0.006,0.005,0.001,0.002
,Intercept,0.236,0.222,0.238,0.219,0.248,0.210,0.243,0.209
,RMSE,0.063,0.056,0.063,0.058,0.068,0.056,0.067,0.052
