		$z$	$d_C$	$\alpha$	$m$	$N$	$\kappa$	Sx	Intercept	RMSE
Glacier 4	MLR Coefficient	0.008	-0.001	-0.012	-0.004	-0.002	0.016	-0.051	0.619	0.145
	BMS Coefficient	0.006	-0.001	-0.010	-0.007	-0.003	0.016	-0.050	0.619	0.106
	Semi-partial R$^2$	0.015	$<$0.001	$<$0.001	0.007	0.001	0.01	0.034	---	---
	Raw correlation	0.003	0.044	0.001	0.027	0.001	0.041	0.065	---	---
Glacier 2	MLR Coefficient	0.11	0.008	-0.01	0.026	0.011	0.001	0.036	0.262	0.089
	BMS Coefficient	0.111	0.008	-0.011	0.029	0.012	0.002	0.036	0.261	0.075
	Semi-partial R$^2$	0.205	0.014	0.004	$<$0.001	0.003	0.004	0.028	---	---
	Raw correlation	0.586	0.031	0.211	0.100	0.193	0.078	0.333	---	---
Glacier 13	MLR Coefficient	0.054	$<$0.001	$<$0.001	0.001	0.001	-0.021	0.003	0.229	0.076
	BMS Coefficient	0.054	$<$0.001	-0.001	$<$0.001	0.001	-0.019	0.003	0.228	0.060
	Semi-partial R$^2$	0.245	0.003	0.007	0.002	0.005	0.008	0.009	---	---
	Raw correlation	0.347	0.051	0.012	$<$0.001	0.022	0.04	0.083	---	---
