,,Full,,,,Sampled,,,
,,Mean,Standard Deviation,Skewness,Kurtosis,Mean,Standard Deviation,Skewness,Kurtosis
G4,$d_C$,317.46,256.74,1.37,5.01,114.99,90.35,0.33,2.02
,$z$,2343.37,177.93,-0.18,2.11,2238.93,85.11,0.00,2.55
,$\alpha$,0.45,0.56,-1.14,3.24,263.72,114.59,-1.50,3.49
,$m$,12.52,8.27,1.45,4.86,8.19,3.58,1.61,7.18
,$N$,0.09,0.15,0.06,5.26,0.10,0.06,0.22,5.71
,$\kappa_P$,-73.82,303.08,-0.23,6.32,-30.20,206.62,-0.54,4.12
,$\kappa_T$,-41.43,293.06,-0.20,6.61,-41.76,198.50,-0.04,3.15
,$Sx$,1.53,11.42,1.02,4.28,-1.44,4.81,1.97,8.17
G2,$d_C$,297.60,234.02,1.20,4.38,136.78,98.64,0.33,2.52
,$z$,2495.11,232.60,0.10,2.81,2297.04,93.82,0.08,1.80
,$\alpha$,-0.35,0.59,0.72,2.29,140.34,34.68,0.08,3.06
,$m$,14.10,11.54,1.15,3.11,6.56,2.06,0.44,3.97
,$N$,-0.03,0.18,0.96,5.18,-0.07,0.05,1.15,7.26
,$\kappa_P$,-16.81,270.23,0.65,10.34,-3.54,149.77,-0.34,3.96
,$\kappa_T$,-0.88,253.45,0.38,9.69,7.73,197.08,0.29,3.78
,$Sx$,-3.82,9.34,-0.18,6.09,-3.71,2.54,0.84,4.87
G13,$d_C$,426.39,306.73,0.83,3.31,181.98,152.02,0.37,2.10
,$z$,2427.62,225.15,0.13,2.45,2214.21,75.84,0.61,4.80
,$\alpha$,-0.12,0.66,0.25,1.70,130.72,46.58,0.80,6.23
,$m$,15.00,11.90,1.15,3.47,5.80,2.63,1.11,5.62
,$N$,0.01,0.19,0.71,3.88,-0.05,0.06,0.25,4.79
,$\kappa_P$,-27.37,234.18,0.30,5.29,19.50,127.35,-0.82,7.08
,$\kappa_T$,-3.57,236.64,0.92,8.61,-0.41,143.17,-0.69,5.59
,$Sx$,3.69,12.08,0.97,3.68,-1.65,3.91,1.02,5.69
