,,$z$,$d_C$,$\alpha$,$m$,$N$,$\kappa$,Sx
Glacier 4,$z$,1,0.16,-0.57,-0.08,-0.51,0.17,0.43
,$d_C$,0,1,0.13,0.56,0.16,-0.43,0.35
,$\alpha$,0,0,1,0.57,0.95,-0.61,-0.58
,$m$,0,0,0,1,0.64,-0.58,-0.1
,$N$,0,0,0,0,1,-0.59,-0.59
,$\kappa$,0,0,0,0,0,1,0.05
,Sx,0,0,0,0,0,0,1
Glacier 2,$z$,1,0.06,-0.52,-0.58,-0.62,0.45,0.57
,$d_C$,0,1,0.06,0.13,0.11,-0.27,0.01
,$\alpha$,0,0,1,0.33,0.86,-0.42,-0.45
,$m$,0,0,0,1,0.74,-0.67,-0.41
,$N$,0,0,0,0,1,-0.67,-0.48
,$\kappa$,0,0,0,0,0,1,0.28
,Sx,0,0,0,0,0,0,1
Glacier 13,$z$,1,0.15,0.19,-0.15,0.1,0.02,0.27
,$d_C$,0,1,-0.05,0.18,0.1,-0.45,0.06
,$\alpha$,0,0,1,-0.07,0.68,0,0.45
,$m$,0,0,0,1,0.63,-0.22,-0.22
,$N$,0,0,0,0,1,-0.21,0.23
,$\kappa$,0,0,0,0,0,1,-0.3
,Sx,0,0,0,0,0,0,1
